ClassId,Image,Category,CommonName,FamilyName,ScientificName,Height,Weight,Habitat,Lifespan,Description
135,Image/train/CANVASBACK/001.jpg,Bird,Canvasback,Anatidae,Aythya valisineria,48-56 cm,1.2-2 kg,"Lakes, ponds, and marshes",Up to 20 years,"The Canvasback is a diving duck species found in North America. With its distinctive red head and a sloping profile, it inhabits freshwater lakes and rivers. Canvasbacks primarily feed on aquatic plants and invertebrates. Conservation efforts focus on protecting their breeding habitats, addressing potential threats such as habitat loss and water pollution, and monitoring their populations during migration."
136,Image/train/CAPE GLOSSY STARLING/001.jpg,Bird,Cape Glossy Starling,Sturnidae,Lamprotornis nitens,22-27 cm,78-114 g,Woodlands and savannas,Up to 14 years,"The Cape Glossy Starling is a bird species found in parts of Africa. With its iridescent plumage and distinctive coloration, it inhabits savannas and woodlands. Cape Glossy Starlings primarily feed on fruits and insects. Conservation efforts focus on preserving their natural habitats and addressing potential threats such as habitat loss and changes in land use."
137,Image/train/CAPE LONGCLAW/001.jpg,Bird,Cape Longclaw,Motacillidae,Macronyx capensis,18-20 cm,37-45 g,Grasslands and wetlands,Not Available Right Now,"The Cape Longclaw is a bird species found in Africa. With its yellow plumage and distinctive facial markings, it is often associated with grasslands and wet meadows. Cape Longclaws primarily feed on insects and small invertebrates. Conservation efforts focus on maintaining suitable grassland habitats, addressing potential threats such as habitat loss, and promoting sustainable land management practices."
138,Image/train/CAPE MAY WARBLER/001.jpg,Bird,Cape May Warbler,Parulidae,Setophaga tigrina,11-13 cm,8-13 g,Boreal forests and coniferous areas,3-5 years,"The Cape May Warbler is a migratory songbird found in North America. With its vibrant plumage and a distinctive facial pattern, it breeds in boreal forests. Cape May Warblers primarily feed on insects. Conservation efforts focus on protecting their breeding habitats, addressing potential threats such as habitat loss, and monitoring their populations during migration."
139,Image/train/CAPE ROCK THRUSH/001.jpg,Bird,Cape Rock Thrush,Muscicapidae,Monticola rupestris,18-20 cm,45-60 g,Rocky areas and mountainous regions,Up to 5 years,"The Cape Rock Thrush is a bird species found in parts of Africa. With its distinctive plumage and a preference for rocky habitats, it is often seen in mountainous areas. Cape Rock Thrushes primarily feed on insects and small invertebrates. Conservation efforts focus on preserving their rocky habitats, addressing potential threats such as habitat loss, and understanding their ecology in different elevations."
140,Image/train/CAPPED HERON/001.jpg,Bird,Capped Heron,Ardeidae,Pilherodius pileatus,47-56 cm,400-550 g,Mangroves and coastal areas,Up to 20 years,"The Capped Heron is a bird species found in parts of South America. With its distinctive capped appearance and cryptic plumage, it is often seen in wetland habitats. Capped Herons primarily feed on fish and aquatic invertebrates. Conservation efforts focus on preserving their wetland habitats, addressing potential threats such as habitat loss, and promoting sustainable management of freshwater ecosystems."
141,Image/train/CAPUCHINBIRD/001.jpg,Bird,Capuchinbird,Cotingidae,Perissocephalus tricolor,34-38 cm,185-230 g,Tropical rainforests,Not Available Right Now,"The Capuchinbird, also known as the Capuchin Manakin, is a bird species found in South America. With its unique appearance and elaborate courtship displays, it inhabits tropical forests. Capuchinbirds primarily feed on fruits and insects. Conservation efforts focus on preserving their natural habitats from deforestation and addressing potential threats such as habitat fragmentation and illegal pet trade."
142,Image/train/CARMINE BEE-EATER/001.jpg,Bird,Carmine Bee-eater,Meropidae,Merops nubicoides,42-48 cm,55-85 g,"Savannahs, grasslands, and riverbanks",Up to 10 years,"The Carmine Bee-eater is a bird species found in parts of sub-Saharan Africa. With its vibrant carmine plumage and distinctive long tail feathers, it is often seen near water bodies. Carmine Bee-eaters primarily feed on flying insects, especially bees. Conservation efforts focus on protecting their nesting sites in riverbanks, addressing potential threats such as habitat degradation, and promoting awareness about their ecological importance."
143,Image/train/CASPIAN TERN/001.jpg,Bird,Caspian Tern,Laridae,Hydroprogne caspia,48-60 cm,530-782 g,Coastal areas and large inland waters,Up to 27 years,"The Caspian Tern is a seabird found worldwide, particularly in coastal areas and large inland lakes. With its large size and distinctive black cap, it is known for its impressive aerial dives for fish. Caspian Terns primarily feed on fish. Conservation efforts focus on protecting their nesting sites, addressing potential threats such as disturbance during the breeding season, and monitoring their populations in response to environmental changes."
144,Image/train/CASSOWARY/001.jpg,Bird,Cassowary,Casuariidae,Various species,Varies,Varies,Rainforests and scrublands,Varies,"The Cassowary is a large flightless bird found in northern Australia, New Guinea, and nearby islands. With its striking blue and black plumage and a casque on its head, it inhabits tropical forests. Cassowaries primarily feed on fruits. Conservation efforts focus on preserving their habitats, addressing potential threats such as habitat loss, and managing interactions with humans to reduce the risk of vehicle collisions and conflicts."
145,Image/train/CAT/00357563a7.jpg,Mammal,Cat,Felidae,Felis catus,Varies,Varies,Various habitats depending on lifestyle,Varies,"Cats, domesticated or feral, are carnivorous mammals that belong to the Felidae family. With a wide range of breeds and colors, cats are popular pets worldwide. Conservation efforts related to feral cats focus on managing their impact on wildlife, especially on islands where they can pose a threat to native bird species. Responsible pet ownership and spaying/neutering programs are essential for controlling feral cat populations."
146,Image/train/CATERPILLAR/01ee56d7db.jpg,Insect,Caterpillar,Lepidoptera,Various species,Varies,Varies,Various habitats depending on species,Varies,"Caterpillars are the larval stage of butterflies and moths. With their distinct body segments and often vibrant colors, caterpillars are herbivorous, feeding on plant leaves. Conservation efforts related to caterpillars involve understanding their role in ecosystems and promoting habitat conservation to support the entire life cycle of butterflies and moths."
147,Image/train/CEDAR WAXWING/001.jpg,Bird,Cedar Waxwing,Bombycillidae,Bombycilla cedrorum,14 cm,32-35 g,"Woodlands, orchards, and urban areas",6-7 years,"The Cedar Waxwing is a songbird found in North America. With its sleek appearance, waxy red tips on wing feathers, and a black mask, it is often seen in fruiting trees. Cedar Waxwings primarily feed on fruits and insects. Conservation efforts focus on preserving suitable habitats with a variety of fruiting trees, addressing potential threats such as pesticide use, and promoting awareness about the importance of urban and suburban green spaces."
148,Image/train/CERULEAN WARBLER/001.jpg,Bird,Cerulean Warbler,Parulidae,Setophaga cerulea,10-11 cm,7-11 g,Deciduous forests and woodlands,4-7 years,"The Cerulean Warbler is a migratory songbird found in North and South America. With its vibrant blue plumage, it breeds in deciduous forests. Cerulean Warblers primarily feed on insects. Conservation efforts focus on protecting their breeding habitats, addressing potential threats such as habitat loss, and monitoring their populations during migration."
149,Image/train/CHARA DE COLLAR/001.jpg,Bird,Chara de Collar,Parulidae,Setophaga citrina,12 cm,7-10 g,Woodlands and mixed forests,5-10 years,"Chara de Collar, also known as the Collared Warbling Finch, is a bird species found in South America. With its distinctive black and white plumage and a collar-like pattern, it inhabits grasslands and savannas. Charas de Collar primarily feed on seeds. Conservation efforts focus on preserving their grassland habitats, addressing potential threats such as habitat fragmentation, and promoting sustainable land management practices."
150,Image/train/CHATTERING LORY/001.jpg,Bird,Chattering Lory,Psittacidae,Lorius garrulus,30 cm,160-200 g,Rainforests and lowland forests,20-30 years,"The Chattering Lory is a parrot species found in parts of Indonesia. With its vibrant green and blue plumage, it is known for its vocalizations. Chattering Lories primarily feed on fruits and nectar. Conservation efforts focus on understanding their ecology in tropical forests, preserving their natural habitats, and addressing potential threats such as habitat loss and illegal pet trade."
151,Image/train/CHESTNET BELLIED EUPHONIA/001.jpg,Bird,Chestnut-bellied Euphonia,Fringillidae,Euphonia pectoralis,10-11 cm,13-19 g,Tropical and subtropical forests,Not Available Right Now,"The Chestnut-bellied Euphonia is a bird species found in parts of South America. With its colorful plumage, it inhabits tropical forests. Chestnut-bellied Euphonias primarily feed on fruits and insects. Conservation efforts focus on preserving their natural habitats from deforestation and addressing potential threats such as habitat fragmentation and illegal pet trade."
152,Image/train/CHESTNUT WINGED CUCKOO/001.jpg,Bird,Chestnut-winged Cuckoo,Cuculidae,Clamator levaillantii,28-33 cm,85-110 g,Tropical and subtropical forests,Up to 10 years or more,"The Chestnut-winged Cuckoo is a bird species found in Southeast Asia. With its chestnut wings and distinctive call, it inhabits tropical forests. Chestnut-winged Cuckoos primarily feed on insects and caterpillars. Conservation efforts focus on preserving their natural habitats from deforestation, understanding their breeding ecology, and addressing potential threats such as habitat loss and climate change."
153,Image/train/CHIMPANZEE/00981a3b70.jpg,Mammal,Chimpanzee,Hominidae,Pan troglodytes,Varies,Varies,Tropical forests and savannas,Up to 60 years,"Chimpanzees are great apes found in tropical forests of Africa. With their highly intelligent and social nature, chimpanzees share a close genetic relationship with humans. Conservation efforts focus on protecting their habitats, addressing threats such as habitat loss and hunting, and promoting awareness about the importance of preserving biodiversity and ecosystems that support chimpanzee populations."
154,Image/train/CHINESE BAMBOO PARTRIDGE/001.jpg,Bird,Chinese Bamboo Partridge,Phasianidae,Bambusicola thoracicus,28-30 cm,340-450 g,Bamboo forests and woodlands,5 to 10 years,"The Chinese Bamboo Partridge is a bird species found in East Asia, particularly in China. With its cryptic plumage and a preference for bamboo forests, it forages for seeds and insects. Chinese Bamboo Partridges face threats from habitat loss and hunting. Conservation efforts focus on protecting their bamboo forest habitats, addressing potential threats, and promoting sustainable forest management practices."
155,Image/train/CHINESE POND HERON/001.jpg,Bird,Chinese Pond Heron,Ardeidae,Ardeola bacchus,45-47 cm,250-375 g,"Wetlands, ponds, and marshes",Up to 15 years,"The Chinese Pond Heron is a wading bird found in parts of Asia. With its camouflaged plumage, it is often seen in wetlands and rice fields. Chinese Pond Herons primarily feed on small fish and invertebrates. Conservation efforts focus on protecting their wetland habitats, addressing potential threats such as habitat loss, and promoting sustainable agricultural practices to minimize disturbances to their feeding areas."
156,Image/train/CHIPPING SPARROW/001.jpg,Bird,Chipping Sparrow,Emberizidae,Spizella passerina,11-14 cm,11-21 g,"Open habitats, gardens, and urban areas",2-3 years,"The Chipping Sparrow is a songbird found in North America. With its distinctive cap and black stripe, it is often seen in open habitats. Chipping Sparrows primarily feed on seeds and insects. Conservation efforts focus on maintaining suitable habitats, addressing potential threats such as habitat loss, and promoting sustainable land management practices to support their populations."
157,Image/train/CHUCAO TAPACULO/001.jpg,Bird,Chucao Tapaculo,Rhinocryptidae,Scelorchilus rubecula,20-21 cm,40-50 g,Forests and shrublands,Not Available Right Now,"The Chucao Tapaculo is a bird species found in South America. With its cryptic plumage and a preference for dense vegetation, it is often heard but not easily seen. Chucao Tapaculos primarily feed on insects and small invertebrates. Conservation efforts focus on preserving their natural habitats from deforestation, understanding their ecology, and addressing potential threats such as habitat fragmentation and climate change."
158,Image/train/CHUKAR PARTRIDGE/001.jpg,Bird,Chukar Partridge,Phasianidae,Alectoris chukar,32-35 cm,700-800 g,Arid and rocky areas,Up to 10 years,"The Chukar Partridge is a bird species native to Eurasia, introduced to North America. With its distinctive markings and a preference for arid environments, it is often associated with rocky terrain. Chukar Partridges primarily feed on seeds and plant matter. Conservation efforts focus on managing their populations, addressing potential threats such as habitat loss, and understanding their interactions with native flora and fauna."
159,Image/train/CINNAMON ATTILA/001.jpg,Bird,Cinnamon Attila,Tyrannidae,Attila cinnamomeus,17-18 cm,30-34 g,Tropical and subtropical forests,Not Available Right Now,"The Cinnamon Atttila, also known as the Cinnamon Flycatcher, is a bird species found in parts of South America. With its cinnamon-colored plumage, it inhabits montane forests. Cinnamon Attilas primarily feed on insects. Conservation efforts focus on preserving their montane habitats from deforestation and addressing potential threats such as habitat degradation and climate change."
160,Image/train/CINNAMON FLYCATCHER/001.jpg,Bird,Cinnamon Flycatcher,Tyrannidae,Pyrrhomyias cinnamomeus,11-12 cm,9-11 g,Tropical and subtropical forests,Not Available Right Now,"The Cinnamon Flycatcher is a bird species found in parts of South America. With its cinnamon-colored plumage, it inhabits montane forests. Cinnamon Flycatchers primarily feed on insects. Conservation efforts focus on preserving their montane habitats from deforestation and addressing potential threats such as habitat degradation and climate change."
161,Image/train/CINNAMON TEAL/001.jpg,Bird,Cinnamon Teal,Anatidae,Anas cyanoptera,38-43 cm,340-630 g,"Wetlands, ponds, and marshes",Up to 10 years,"The Cinnamon Teal is a duck species found in North and South America. With its distinctive cinnamon-colored plumage, it inhabits freshwater wetlands. Cinnamon Teals primarily feed on aquatic invertebrates. Conservation efforts focus on protecting their breeding habitats, addressing potential threats such as habitat loss, and monitoring their populations during migration."
162,Image/train/CLARKS GREBE/001.jpg,Bird,Clark's Grebe,Podicipedidae,Aechmophorus clarkii,58-74 cm,"650-1,350 g",Lakes and ponds,Up to 15 years,"Clark's Grebe is a waterbird found in North America. With its black cap and distinctive courtship displays, it is often associated with freshwater lakes. Clark's Grebes primarily feed on fish. Conservation efforts focus on protecting their nesting sites, addressing potential threats such as habitat loss, and promoting sustainable water management practices to ensure the availability of suitable breeding habitats."
163,Image/train/CLARKS NUTCRACKER/001.jpg,Bird,Clark's Nutcracker,Corvidae,Nucifraga columbiana,31-33 cm,110-150 g,Coniferous forests and mountainous areas,Up to 15 years,"Clark's Nutcracker is a bird species found in North America. With its gray plumage and a long, pointed bill, it is known for its ability to cache and retrieve seeds. Clark's Nutcrackers play a crucial role in seed dispersal in coniferous forests. Conservation efforts focus on understanding their role in forest ecosystems, addressing potential threats such as habitat loss, and promoting sustainable forest management practices."
164,Image/train/COCK OF THE  ROCK/001.jpg,Bird,Cock of the Rock,Cotingidae,Various species,Varies,Varies,Tropical rainforests,Varies,"Cock of the Rock is a bird species found in parts of South America. With its vibrant orange plumage and elaborate courtship displays, it inhabits montane forests. Cocks of the Rock primarily feed on fruits and insects. Conservation efforts focus on preserving their montane habitats from deforestation and addressing potential threats such as habitat degradation and climate change."
165,Image/train/COCKATOO/001.jpg,Bird,Cockatoo,Cacatuidae,Various species,Varies,Varies,"Forests, woodlands, and savannas",Varies,"Cockatoos are a group of parrot species found in Australia, Southeast Asia, and nearby islands. With their distinctive crests and vocalizations, cockatoos are popular in aviculture. Conservation efforts focus on addressing threats such as illegal pet trade, habitat loss, and habitat degradation. Sustainable practices in aviculture, habitat conservation, and community engagement are essential for the conservation of cockatoo species."
166,Image/train/COCKROACH/01af9577d7.jpg,Insect,Cockroach,Blattodea,Various species,Varies,Varies,Various habitats depending on species,Varies,"Cockroaches are insects found worldwide, known for their adaptability and scavenging behavior. With a wide range of species, some cockroaches play important roles in ecosystems as decomposers. Conservation efforts related to cockroaches involve understanding their ecological roles, minimizing the use of pesticides that may harm non-target species, and promoting integrated pest management practices."
167,Image/train/COLLARED ARACARI/001.jpg,Bird,Collared Aracari,Ramphastidae,Pteroglossus torquatus,41-43 cm,190-270 g,Tropical rainforests,15 to 20 years,"The Collared Aracari is a bird species found in parts of Central and South America. With its distinctive plumage and a collar-like pattern, it inhabits tropical forests. Collared Aracaris primarily feed on fruits and insects. Conservation efforts focus on preserving their natural habitats from deforestation and addressing potential threats such as habitat fragmentation and illegal pet trade."
168,Image/train/COLLARED CRESCENTCHEST/001.jpg,Bird,Collared Crescentchest,Melanopareiidae,Melanopareia torquata,14 cm,13-15 g,Scrublands and savannas,Not Available Right Now,"The Collared Crescentchest is a bird species found in South America. With its cryptic plumage and a distinctive collar-like pattern, it inhabits dense vegetation. Collared Crescentchests primarily feed on insects and small invertebrates. Conservation efforts focus on preserving their natural habitats, understanding their ecology, and addressing potential threats such as habitat loss and fragmentation."
169,Image/train/COMMON FIRECREST/001.jpg,Bird,Common Firecrest,Regulidae,Regulus ignicapilla,9-10 cm,5-7 g,Coniferous and mixed forests,2-3 years,"The Common Firecrest is a small bird found in parts of Europe and Asia. With its vibrant plumage and a distinctive crown stripe, it is often associated with coniferous and mixed forests. Common Firecrests primarily feed on insects. Conservation efforts focus on preserving their forest habitats, addressing potential threats such as habitat loss, and promoting sustainable forest management practices to support their populations."
170,Image/train/COMMON GRACKLE/001.jpg,Bird,Common Grackle,Icteridae,Quiscalus quiscula,28-34 cm,75-143 g,"Wetlands, meadows, and urban areas",2-3 years,"The Common Grackle is a bird species found in North America. With its iridescent black plumage, it is often seen in open habitats. Common Grackles primarily feed on seeds, insects, and small vertebrates. Conservation efforts focus on maintaining suitable habitats, addressing potential threats such as habitat loss, and managing their populations for balanced ecosystems."
171,Image/train/COMMON HOUSE MARTIN/001.jpg,Bird,Common House Martin,Hirundinidae,Delichon urbicum,12-13 cm,18-22 g,Urban areas and open habitats,3-5 years,"The Common House Martin is a bird species found in Europe, Asia, and North Africa. With its streamlined body and distinctive white rump, it is known for its aerial acrobatics. Common House Martins primarily feed on flying insects. Conservation efforts focus on providing nesting sites, addressing potential threats such as habitat loss, and promoting awareness about the importance of insect-eating birds in controlling pest populations."
172,Image/train/COMMON IORA/001.jpg,Bird,Common Iora,Aegithinidae,Aegithina tiphia,15 cm,8-12 g,"Woodlands, gardens, and shrubby areas",7-10 years,"The Common Iora is a bird species found in South and Southeast Asia. With its bright yellow and black plumage, it inhabits open woodlands and gardens. Common Ioras primarily feed on insects. Conservation efforts focus on preserving their natural habitats from deforestation, addressing potential threats such as habitat fragmentation, and promoting sustainable land use practices to support a variety of bird species."
173,Image/train/COMMON LOON/001.jpg,Bird,Common Loon,Gaviidae,Gavia immer,66-91 cm,2.5-4.8 kg,Lakes and ponds,Up to 30 years,"The Common Loon is a bird species found in North America and northern Eurasia. With its striking black and white plumage, it is often associated with freshwater lakes. Common Loons primarily feed on fish. Conservation efforts focus on protecting their breeding habitats, addressing potential threats such as habitat degradation, and monitoring their populations during migration."
174,Image/train/COMMON POORWILL/001.jpg,Bird,Common Poorwill,Caprimulgidae,Phalaenoptilus nuttallii,18-20 cm,40-58 g,Arid and semi-arid regions,Up to 8 years,"The Common Poorwill is a bird species found in North and Central America. With its cryptic plumage and nocturnal habits, it is known for its unique hibernation behavior. Common Poorwills primarily feed on flying insects. Conservation efforts focus on understanding their ecology, protecting suitable habitats, and addressing potential threats such as habitat loss and disturbance during their vulnerable hibernation period."
175,Image/train/COMMON STARLING/001.jpg,Bird,Common Starling,Sturnidae,Sturnus vulgaris,19-23 cm,60-90 g,"Urban areas, farmlands, and open habitats",2-3 years,"The Common Starling is a bird species found in Europe, Asia, and North Africa. With its iridescent plumage and mimicry abilities, it is often associated with urban areas. Common Starlings primarily feed on insects and fruits. Conservation efforts focus on managing their populations, addressing potential threats such as habitat loss, and promoting awareness about the impacts of invasive species on native bird species."
176,Image/train/COPPERSMITH BARBET/1.jpg,Bird,Coppersmith Barbet,Megalaimidae,Psilopogon haemacephalus,18-20 cm,80-140 g,"Woodlands, gardens, and urban areas",8-10 years,"The Coppersmith Barbet is a bird species found in South and Southeast Asia. With its vibrant plumage and distinctive call, it is often seen in urban areas and gardens. Coppersmith Barbets primarily feed on fruits and insects. Conservation efforts focus on preserving green spaces in urban environments, addressing potential threats such as habitat loss, and promoting coexistence with these colorful and adaptable birds."
177,Image/train/COPPERY TAILED COUCAL/001.jpg,Bird,Coppery-tailed Coucal,Cuculidae,Centropus cupreicaudus,43-46 cm,100-150 g,"Grasslands, wetlands, and shrubby areas",Up to 10 years or more,"The Coppery-tailed Coucal is a bird species found in parts of Africa. With its rufous plumage and long tail, it is often associated with wetlands and grasslands. Coppery-tailed Coucals primarily feed on insects, small vertebrates, and amphibians. Conservation efforts focus on preserving their wetland habitats, addressing potential threats such as habitat loss, and promoting sustainable land use practices to maintain the ecological balance of these ecosystems."
178,Image/train/COW/05768d38ec.jpg,Mammal,Cow,Bovidae,Bos taurus,Varies,Varies,Grasslands and farms,18-22 years,"Cows are domesticated mammals raised for various purposes, including milk, meat, and leather. With a wide range of breeds, cows are integral to agriculture and food production. Conservation efforts related to cattle focus on sustainable farming practices, promoting animal welfare, and addressing environmental impacts such as deforestation associated with cattle ranching. Responsible livestock management is crucial for balancing agricultural needs with environmental sustainability."
179,Image/train/COYOTE/004c3aef03.jpg,Mammal,Coyote,Canidae,Canis latrans,55-66 cm,9-23 kg,Various habitats including grasslands and forests,10-14 years,"Coyotes are wild canids found in North America. With their adaptable nature and a varied diet, coyotes play important roles in ecosystems. Conservation efforts focus on managing human-coyote conflicts, understanding their ecological roles, and promoting coexistence through education and responsible pet ownership. Maintaining healthy ecosystems requires recognizing the ecological value of coyotes in controlling rodent populations and supporting biodiversity."
180,Image/train/CRAB/01c3fc5278.jpg,Crustacean,Crab,Various families,Various species,Varies,Varies,"Oceans, freshwater, and terrestrial habitats",Varies,"Crabs are crustaceans found in various marine and freshwater habitats worldwide. With their hard exoskeletons and distinctive claws, crabs are essential components of aquatic ecosystems. Conservation efforts related to crabs involve sustainable fisheries management, protecting coastal habitats, and addressing threats such as habitat degradation and pollution. Maintaining healthy crab populations is crucial for the overall health of aquatic ecosystems and supporting the livelihoods of communities dependent on crab fisheries."
181,Image/train/CRAB PLOVER/001.jpg,Bird,Crab Plover,Dromadidae,Dromas ardeola,28-33 cm,200-300 g,Coastal areas and sandy shores,Not Available Right Now,"The Crab Plover is a bird species found in parts of Asia and Africa. With its black and white plumage, it is often associated with coastal areas. Crab Plovers primarily feed on crabs. Conservation efforts focus on protecting their coastal habitats, addressing potential threats such as habitat loss, and monitoring their populations in response to environmental changes. Maintaining healthy coastal ecosystems is crucial for the survival of Crab Plovers and other shorebird species."
182,Image/train/CRANE HAWK/001.jpg,Bird,Crane Hawk,Accipitridae,Geranospiza caerulescens,41-51 cm,300-550 g,Wetlands and wooded areas,10 to 30 years,"The Crane Hawk is a bird species found in parts of Central and South America. With its distinctive appearance and agile flight, it is often seen in tropical forests. Crane Hawks primarily feed on reptiles, birds, and insects. Conservation efforts focus on preserving their natural habitats from deforestation, addressing potential threats such as habitat fragmentation, and promoting sustainable land use practices to support the diverse fauna of tropical forests."
183,Image/train/CREAM COLORED WOODPECKER/001.jpg,Bird,Cream-colored Woodpecker,Picidae,Celeus flavus,23-26 cm,60-95 g,Forests and woodlands,4 to 12 years,"The Cream-colored Woodpecker is a bird species found in parts of South America. With its striking black and white plumage and a pale yellowish crown, it inhabits tropical forests. Cream-colored Woodpeckers primarily feed on insects. Conservation efforts focus on preserving their natural habitats from deforestation, understanding their breeding ecology, and addressing potential threats such as habitat loss and climate change."
184,Image/train/CRESTED AUKLET/001.jpg,Bird,Crested Auklet,Alcidae,Aethia cristatella,20-27 cm,160-280 g,Coastal areas and rocky shores,Up to 20 years,"The Crested Auklet is a seabird found in the North Pacific. With its distinctive crested appearance and unique facial plumes, it is associated with oceanic habitats. Crested Auklets primarily feed on zooplankton. Conservation efforts focus on monitoring their populations, addressing potential threats such as changes in oceanic conditions, and promoting awareness about the importance of protecting marine ecosystems to support a variety of seabird species."
185,Image/train/CRESTED CARACARA/001.jpg,Bird,Crested Caracara,Falconidae,Caracara plancus,50-65 cm,"800-1,300 g","Grasslands, savannas, and open habitats",10-15 years,"The Crested Caracara is a bird of prey found in the Americas. With its distinctive appearance and scavenging behavior, it is often associated with open habitats. Crested Caracaras primarily feed on carrion and small vertebrates. Conservation efforts focus on protecting their habitats, addressing potential threats such as habitat loss, and promoting awareness about the ecological roles of scavenging birds in maintaining healthy ecosystems."
186,Image/train/CRESTED COUA/001.jpg,Bird,Crested Coua,Cuculidae,Coua cristata,40-44 cm,150-200 g,Forests and scrublands,Not Available Right Now,"The Crested Coua is a bird species found in Madagascar. With its striking appearance and a distinctive call, it is often seen in forests and wooded areas. Crested Couas primarily feed on fruits, insects, and small vertebrates. Conservation efforts focus on preserving their forest habitats from deforestation, addressing potential threats such as habitat fragmentation, and promoting sustainable land use practices to protect the unique biodiversity of Madagascar."
187,Image/train/CRESTED FIREBACK/001.jpg,Bird,Crested Fireback,Phasianidae,Lophura ignita,50-70 cm,1.2-2.5 kg,Rainforests and woodlands,Few years to a couple of decades,"The Crested Fireback is a bird species found in Southeast Asia. With its vibrant plumage and a distinctive crest, it inhabits tropical forests. Crested Firebacks primarily feed on fruits, insects, and small vertebrates. Conservation efforts focus on preserving their natural habitats from deforestation, understanding their breeding ecology, and addressing potential threats such as habitat loss and illegal pet trade."
188,Image/train/CRESTED KINGFISHER/001.jpg,Bird,Crested Kingfisher,Alcedinidae,Megaceryle lugubris,29-36 cm,113-180 g,"Rivers, lakes, and mangroves",Up to 14 years,"The Crested Kingfisher is a bird species found in parts of Asia. With its large size and distinctive crest, it is often associated with rivers and streams. Crested Kingfishers primarily feed on fish. Conservation efforts focus on protecting freshwater habitats, addressing potential threats such as habitat degradation, and promoting sustainable water management practices to support the diverse fauna of aquatic ecosystems."
189,Image/train/CRESTED NUTHATCH/001.jpg,Bird,Crested Nuthatch,Sittidae,Various species,Varies,Varies,Forests and woodlands,Varies,"The Crested Nuthatch is a bird species found in North America, Europe, and Asia. With its distinctive plumage and habit of climbing down tree trunks headfirst, it is often seen in deciduous and coniferous forests. Crested Nuthatches primarily feed on insects and seeds. Conservation efforts focus on preserving their forest habitats, addressing potential threats such as habitat loss, and promoting sustainable forest management practices to support a variety of bird species."
190,Image/train/CRESTED OROPENDOLA/001.jpg,Bird,Crested Oropendola,Icteridae,Psarocolius decumanus,43-52 cm,225-385 g,Forests and open habitats,Up to 15 years,"The Crested Oropendola is a bird species found in parts of Central and South America. With its distinctive appearance and elaborate hanging nests, it is often associated with tropical forests. Crested Oropendolas primarily feed on fruits and insects. Conservation efforts focus on preserving their natural habitats from deforestation, understanding their breeding ecology, and addressing potential threats such as habitat loss and changes in land use."
191,Image/train/CRESTED SERPENT EAGLE/001.jpg,Bird,Crested Serpent Eagle,Accipitridae,Spilornis cheela,55-74 cm,1.5-2.8 kg,Forests and wooded areas,Up to 40 years,"The Crested Serpent Eagle is a bird of prey found in parts of Asia. With its large size and distinctive appearance, it is often associated with forested areas. Crested Serpent Eagles primarily feed on reptiles and small mammals. Conservation efforts focus on preserving their forest habitats, addressing potential threats such as habitat loss, and promoting sustainable land use practices to maintain the ecological balance of diverse ecosystems."
192,Image/train/CRESTED SHRIKETIT/001.jpg,Bird,Crested Shriketit,Aegithalidae,Falcunculus frontatus,20-22 cm,44-53 g,Rainforests and shrubby areas,Not Available Right Now,"The Crested Shriketit is a bird species found in parts of Southeast Asia. With its distinctive appearance and a habit of impaling prey on thorns, it inhabits wooded areas. Crested Shriketits primarily feed on insects and small vertebrates. Conservation efforts focus on preserving their forest habitats, addressing potential threats such as habitat loss, and promoting sustainable land use practices to support a variety of bird species."
193,Image/train/CRESTED WOOD PARTRIDGE/001.jpg,Bird,Crested Wood Partridge,Phasianidae,Rollulus rouloul,28-32 cm,320-450 g,Rainforests and woodlands,5 to 10 years,"The Crested Wood Partridge is a bird species found in parts of Southeast Asia. With its distinctive appearance and a preference for dense forests, it primarily forages on the ground for seeds and small invertebrates. Crested Wood Partridges face threats from habitat loss and hunting. Conservation efforts focus on preserving their forest habitats, addressing potential threats, and promoting sustainable forest management practices to ensure the long-term survival of this species."
194,Image/train/CRIMSON CHAT/001.jpg,Bird,Crimson Chat,Meliphagidae,Epthianura tricolor,10-12 cm,8-14 g,Arid and semi-arid regions,Not Available Right Now,"The Crimson Chat is a bird species found in Australia. With its vibrant crimson plumage, it is often seen in arid and semi-arid environments. Crimson Chats primarily feed on seeds and insects. Conservation efforts focus on preserving their natural habitats, addressing potential threats such as habitat degradation, and promoting sustainable land use practices to support the unique flora and fauna of Australia's arid regions."
195,Image/train/CRIMSON SUNBIRD/001.jpg,Bird,Crimson Sunbird,Nectariniidae,Aethopyga siparaja,10-15 cm,5-15 g,"Forests, gardens, and shrubby areas",Up to 5 years,"The Crimson Sunbird is a bird species found in parts of Asia. With its vibrant crimson and metallic plumage, it is often associated with flowering plants. Crimson Sunbirds primarily feed on nectar and insects. Conservation efforts focus on preserving their natural habitats, addressing potential threats such as habitat loss, and promoting awareness about the importance of pollinators in maintaining healthy ecosystems and supporting biodiversity."
196,Image/train/CROW/001.jpg,Bird,Crow,Corvidae,Various species,Varies,Varies,"Various habitats including forests, urban areas, and open spaces",Varies,"Crows are birds found worldwide, known for their adaptability and intelligence. With a wide range of species, crows play important roles in ecosystems as scavengers and seed dispersers. Conservation efforts related to crows involve understanding their ecological roles, addressing potential threats such as habitat loss and urbanization, and promoting awareness about the importance of these intelligent birds in maintaining ecological balance."
